C_CUSTKEY;C_NAME;C_ADDRESS;C_NATIONKEY;C_PHONE;C_ACCTBAL;C_MKTSEGMENT;C_COMMENT
1;Customer#000000001;XUxNtWgKxibvRvqHzbest iCALEQsL;8;348-196-4368;20968.97;MACHINERY;ZsZRsroNOWXOUZEdHQ nWghmsllGUblgZzjDYlgQiFrGbFDasdagbYAYBbxlvXnqVZWMfGmFUWiLkgKxgirMBSvdSEFPeq NPKGh
2;Customer#000000002;HbJCzxHZlXdAOukmUq QWCLaJcBmBZ;5;751-378-9223;-9002.69;BUILDING;sZEJlFumpwlUChxaSHETkPfEjIBniaS RytuXxoMkgJQpKOWgVhqURd HasKjZfTtKOcgIkqsmBAEoBerhHusPHQuBgnRMdUBFgV
3;Customer#000000003;TbMq crWdgXjkqpIVzyNHrgxbXeAVC;2;470-526-2210;38669.76;AUTOMOBILE;KeyFRTNrQhHxjwfLsSNKoDXXZPGqPBHpqZnpACuCQAgZEwMFNHrKaLpJZTEgfqbqUdqLzXoPZhBEcFyYQMjULKNMigWgGuGwtKTV
4;Customer#000000004;gskmFttOwcxVzCDCFJlhQpsgleVcsQ;15;672-217-4227;43461.97;FURNITURE;VlcmzPGSRICsHfdJKxKCajGcTuNbiicKBQ MZvcwUfgFiwXqa kwEOkXABShUro WrjLnpzbdrbSFOnWaVDJiMBFeAsTLbhwqMom
5;Customer#000000005;TSRKxKQHFrGCwQsgoWoSugJVrCLDhP;3;786-958-1945;109.04;HOUSEHOLD;ACRHBtqNTSiYeonHqsAQsPloJkfLMLNUMnCFNKOPmNbztpeKhphhnzSjRwnEr otFsvlHxdAfBHzFFBGdRPYHGTNmPZUavJBtggi
6;Customer#000000006;KiTUNFKDjOZsKc buywVbsHwNSfWLs;20;616-617-8322;32368.61;MACHINERY;BkSJBgTRtoeAgyzxIgNFrUCqguT BkxoDzXVJUtHGTopRUuYlNCgBAbYyyvXdiMrHT uclEZNprLCacntcwtWAOfoqhsFETfWiBD
7;Customer#000000007;qz kByvGZqltjmWsFpWHxWPGjFUOOD;3;421-821-4584;77073.85;FURNITURE;VHxCLLYWHSfncgXovYhoLXKutNpwizaZMgW aOVQDxGiElOSSjnWMeloaZvbdunioIZSQzTmPKlrMZtckDwyJhIFVLUWFjdKEtoI
8;Customer#000000008;qqrpJcjiTxueuMFRikYhQdMLjPGhAG;1;613-403-6480;-8507.3;MACHINERY;jBdKmDxHJlbGGeXJXcnExnCzGYcsfKRFFNDzOPMVUBGJspkp NnbnoStxBhLYZXTgwTaBHsvVGFnyuQ DWIatGaJfXPJSOrZgFst
9;Customer#000000009;bPCOAhUnjCLvxNHhCDQtRiWErvWkYo;13;130-740-4201;-1716.92;MACHINERY;WiPAqyAUcqKrDKlRtJAuHOgGEBOU hJdPcnjKZhCgdexKoewCnyroymkLKfQLlTcadSjezimwKirXyTevxGeMMXiVfFTwwkvTAMk
10;Customer#000000010;gmLskgOhTScrVDCgeGyUdgIigjNU u;3;775-825-2677;0.44;AUTOMOBILE;WNBQoHbgkRgpGpSvAyPyVCthASMzWqnOVScCAtNjoHXPhAzaOrwlLwpiATMXSgeZNsMHUovtfzWjkMXDlBbJJsCgfsrqtCNFdUFR
